url_path,views_total,views_unique
/arikusi/deepseek-mcp-server,136,112
/arikusi/deepseek-mcp-server/releases/tag/v1.7.0,26,25
/arikusi/deepseek-mcp-server/releases/tag/v1.8.0,23,21
/arikusi/deepseek-mcp-server/blob/main/CHANGELOG.md,22,20
/arikusi/deepseek-mcp-server/blob/main/README.md,18,5
/arikusi/deepseek-mcp-server/pulls,10,4
/arikusi/deepseek-mcp-server/issues,6,6
/arikusi/deepseek-mcp-server/releases/tag/v2.2.0,5,3
/arikusi/deepseek-mcp-server/discussions,4,4
/arikusi/deepseek-mcp-server/releases,3,3
