time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,3,3,7,6
2026-03-14 00:00:00+00:00,10,7,11,6
2026-03-15 00:00:00+00:00,4,4,8,6
2026-03-16 00:00:00+00:00,19,11,9,9
2026-03-17 00:00:00+00:00,65,22,9,9
2026-03-18 00:00:00+00:00,8,8,34,8
2026-03-19 00:00:00+00:00,4,4,8,7
2026-03-20 00:00:00+00:00,5,5,13,12
2026-03-21 00:00:00+00:00,8,3,10,10
2026-03-22 00:00:00+00:00,1,1,7,7
2026-03-23 00:00:00+00:00,1,1,21,4
2026-03-24 00:00:00+00:00,2,2,5,5
2026-03-25 00:00:00+00:00,3,2,12,10
2026-03-26 00:00:00+00:00,25,2,3,3
2026-03-27 00:00:00+00:00,10,6,5,2
2026-03-28 00:00:00+00:00,2,1,7,7
2026-03-29 00:00:00+00:00,7,6,2,2
2026-03-30 00:00:00+00:00,68,23,8,7
2026-03-31 00:00:00+00:00,16,5,15,7
2026-04-01 00:00:00+00:00,93,3,10,10
2026-04-02 00:00:00+00:00,7,7,10,8
2026-04-03 00:00:00+00:00,105,5,17,17
2026-04-04 00:00:00+00:00,3,3,5,4
2026-04-05 00:00:00+00:00,3,3,11,9
2026-04-06 00:00:00+00:00,2,2,13,12
2026-04-07 00:00:00+00:00,13,6,14,10
2026-04-08 00:00:00+00:00,129,5,4,4
2026-04-09 00:00:00+00:00,4,4,2,2
2026-04-10 00:00:00+00:00,4,3,11,6
2026-04-11 00:00:00+00:00,9,5,7,7
2026-04-12 00:00:00+00:00,6,4,11,6
2026-04-13 00:00:00+00:00,5,4,11,11
2026-04-14 00:00:00+00:00,4,3,4,3
2026-04-15 00:00:00+00:00,3,3,4,2
2026-04-16 00:00:00+00:00,2,2,6,6
2026-04-17 00:00:00+00:00,8,5,7,5
2026-04-18 00:00:00+00:00,4,4,6,4
2026-04-19 00:00:00+00:00,2,2,8,8
2026-04-20 00:00:00+00:00,5,5,11,6
2026-04-21 00:00:00+00:00,4,3,10,8
2026-04-22 00:00:00+00:00,98,29,14,7
2026-04-23 00:00:00+00:00,23,11,31,10
2026-04-24 00:00:00+00:00,30,21,25,15
2026-04-25 00:00:00+00:00,6,6,11,11
2026-04-26 00:00:00+00:00,7,6,5,5
2026-04-27 00:00:00+00:00,3,2,14,6
2026-04-28 00:00:00+00:00,7,6,8,8
2026-04-29 00:00:00+00:00,9,2,22,14
2026-04-30 00:00:00+00:00,6,6,15,10
2026-05-01 00:00:00+00:00,9,7,13,8
2026-05-02 00:00:00+00:00,2,2,7,7
2026-05-03 00:00:00+00:00,2,2,9,8
2026-05-04 00:00:00+00:00,8,5,9,5
2026-05-05 00:00:00+00:00,4,4,10,7
2026-05-06 00:00:00+00:00,15,7,13,11
2026-05-07 00:00:00+00:00,2,2,4,4
2026-05-08 00:00:00+00:00,3,3,3,2
2026-05-09 00:00:00+00:00,2,2,16,12
2026-05-10 00:00:00+00:00,2,2,8,8
2026-05-11 00:00:00+00:00,4,4,24,13
2026-05-12 00:00:00+00:00,4,3,6,4
2026-05-13 00:00:00+00:00,1,1,6,5
2026-05-14 00:00:00+00:00,5,4,20,10
2026-05-15 00:00:00+00:00,6,4,8,7
2026-05-16 00:00:00+00:00,5,4,6,6
2026-05-17 00:00:00+00:00,2,2,8,7
2026-05-18 00:00:00+00:00,19,4,6,5
2026-05-19 00:00:00+00:00,17,6,5,5
2026-05-20 00:00:00+00:00,10,5,15,10
2026-05-21 00:00:00+00:00,12,3,9,8
2026-05-22 00:00:00+00:00,5,4,7,6
2026-05-23 00:00:00+00:00,2,2,7,7
2026-05-24 00:00:00+00:00,10,4,16,13
2026-05-25 00:00:00+00:00,7,6,22,18
2026-05-26 00:00:00+00:00,17,7,13,8
2026-05-27 00:00:00+00:00,12,4,7,6
2026-05-28 00:00:00+00:00,16,6,12,10
2026-05-29 00:00:00+00:00,4,4,11,7
2026-05-30 00:00:00+00:00,9,4,11,9
2026-05-31 00:00:00+00:00,3,3,19,15
2026-06-01 00:00:00+00:00,12,10,20,16
2026-06-02 00:00:00+00:00,7,4,11,9
2026-06-03 00:00:00+00:00,7,6,10,6
2026-06-04 00:00:00+00:00,6,5,15,14
2026-06-05 00:00:00+00:00,4,4,15,11
2026-06-06 00:00:00+00:00,12,4,5,5
2026-06-07 00:00:00+00:00,4,3,13,13
2026-06-08 00:00:00+00:00,11,7,18,15
2026-06-09 00:00:00+00:00,12,7,20,15
2026-06-10 00:00:00+00:00,13,7,13,12
2026-06-11 00:00:00+00:00,6,5,12,11
2026-06-12 00:00:00+00:00,10,5,20,17
2026-06-13 00:00:00+00:00,9,7,14,12
2026-06-14 00:00:00+00:00,294,63,9,8
