time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,5,3,8,5
2026-08-30 00:00:00+00:00,9,4,9,6
2026-08-31 00:00:00+00:00,12,8,19,10
2026-09-01 00:00:00+00:00,4,4,18,3
2026-09-02 00:00:00+00:00,8,5,20,5
2026-09-03 00:00:00+00:00,37,24,10,4
2026-09-04 00:00:00+00:00,6,5,15,7
2026-09-05 00:00:00+00:00,7,4,7,4
2026-09-06 00:00:00+00:00,0,0,11,4
2026-09-07 00:00:00+00:00,10,6,6,6
2026-09-08 00:00:00+00:00,1,1,20,7
2026-09-09 00:00:00+00:00,5,3,17,10
2026-09-10 00:00:00+00:00,3,2,11,8
2026-09-11 00:00:00+00:00,1,1,11,5
