time_iso8601,stars_cumulative
2026-03-21 00:00:00+00:00,1
2026-03-22 00:00:00+00:00,2
2026-03-25 00:00:00+00:00,3
2026-03-29 00:00:00+00:00,4
2026-04-01 00:00:00+00:00,5
2026-04-28 00:00:00+00:00,6
2026-04-30 00:00:00+00:00,7
2026-05-08 00:00:00+00:00,8
2026-05-30 00:00:00+00:00,9
2026-06-07 00:00:00+00:00,10
2026-06-16 00:00:00+00:00,11
2026-06-18 00:00:00+00:00,12
2026-06-23 00:00:00+00:00,13
2026-06-29 00:00:00+00:00,14
2026-07-05 00:00:00+00:00,15
2026-07-08 00:00:00+00:00,16
2026-07-09 00:00:00+00:00,17
2026-07-16 00:00:00+00:00,18
2026-07-28 00:00:00+00:00,19
2026-07-30 00:00:00+00:00,20
2026-08-18 00:00:00+00:00,21
2026-08-31 00:00:00+00:00,22
