time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,0,0,0,0
2026-03-14 00:00:00+00:00,0,0,0,0
2026-03-15 00:00:00+00:00,0,0,0,0
2026-03-16 00:00:00+00:00,0,0,0,0
2026-03-17 00:00:00+00:00,0,0,0,0
2026-03-18 00:00:00+00:00,0,0,0,0
2026-03-19 00:00:00+00:00,0,0,0,0
2026-03-20 00:00:00+00:00,0,0,0,0
2026-03-21 00:00:00+00:00,87,38,7,5
2026-03-22 00:00:00+00:00,2,2,14,6
2026-03-23 00:00:00+00:00,4,3,3,2
2026-03-24 00:00:00+00:00,3,3,1,1
2026-03-25 00:00:00+00:00,38,24,4,4
2026-03-26 00:00:00+00:00,2,2,2,2
2026-03-27 00:00:00+00:00,5,5,3,2
2026-03-28 00:00:00+00:00,0,0,0,0
2026-03-29 00:00:00+00:00,2,2,22,3
2026-03-30 00:00:00+00:00,1,1,10,3
2026-03-31 00:00:00+00:00,1,1,0,0
2026-04-01 00:00:00+00:00,5,1,1,1
2026-04-02 00:00:00+00:00,3,2,4,4
2026-04-03 00:00:00+00:00,5,4,8,7
2026-04-04 00:00:00+00:00,2,2,8,4
2026-04-05 00:00:00+00:00,7,4,6,5
2026-04-06 00:00:00+00:00,30,15,9,8
2026-04-07 00:00:00+00:00,2,2,5,3
2026-04-08 00:00:00+00:00,7,5,1,1
2026-04-09 00:00:00+00:00,3,3,6,5
2026-04-10 00:00:00+00:00,3,2,3,2
2026-04-11 00:00:00+00:00,5,3,6,5
2026-04-12 00:00:00+00:00,2,1,12,9
2026-04-13 00:00:00+00:00,5,3,11,9
2026-04-14 00:00:00+00:00,1,1,13,6
2026-04-15 00:00:00+00:00,1,1,7,5
2026-04-16 00:00:00+00:00,2,2,8,6
2026-04-17 00:00:00+00:00,1,1,13,8
2026-04-18 00:00:00+00:00,2,2,6,5
2026-04-19 00:00:00+00:00,2,2,3,2
2026-04-20 00:00:00+00:00,4,4,8,5
2026-04-21 00:00:00+00:00,0,0,5,5
2026-04-22 00:00:00+00:00,0,0,7,4
2026-04-23 00:00:00+00:00,4,3,3,2
2026-04-24 00:00:00+00:00,3,2,6,5
2026-04-25 00:00:00+00:00,7,7,7,4
2026-04-26 00:00:00+00:00,3,3,16,7
2026-04-27 00:00:00+00:00,1,1,2,2
2026-04-28 00:00:00+00:00,5,4,5,5
2026-04-29 00:00:00+00:00,10,5,7,6
2026-04-30 00:00:00+00:00,3,3,11,9
2026-05-01 00:00:00+00:00,6,5,4,4
2026-05-02 00:00:00+00:00,1,1,5,5
2026-05-03 00:00:00+00:00,3,3,3,3
2026-05-04 00:00:00+00:00,6,4,3,3
2026-05-05 00:00:00+00:00,2,2,7,4
2026-05-06 00:00:00+00:00,12,6,3,2
2026-05-07 00:00:00+00:00,2,2,3,3
2026-05-08 00:00:00+00:00,6,4,2,2
2026-05-09 00:00:00+00:00,1,1,1,1
2026-05-10 00:00:00+00:00,3,3,5,3
2026-05-11 00:00:00+00:00,1,1,4,3
2026-05-12 00:00:00+00:00,4,3,6,4
2026-05-13 00:00:00+00:00,1,1,4,4
2026-05-14 00:00:00+00:00,2,2,4,4
2026-05-15 00:00:00+00:00,3,3,1,1
2026-05-16 00:00:00+00:00,4,3,2,2
2026-05-17 00:00:00+00:00,1,1,5,1
2026-05-18 00:00:00+00:00,6,1,6,4
2026-05-19 00:00:00+00:00,19,4,3,3
2026-05-20 00:00:00+00:00,7,3,11,6
2026-05-21 00:00:00+00:00,15,2,3,3
2026-05-22 00:00:00+00:00,4,3,2,2
2026-05-23 00:00:00+00:00,1,1,8,6
2026-05-24 00:00:00+00:00,5,4,15,7
2026-05-25 00:00:00+00:00,5,5,2,2
2026-05-26 00:00:00+00:00,8,2,2,2
2026-05-27 00:00:00+00:00,9,4,3,3
2026-05-28 00:00:00+00:00,16,7,2,2
2026-05-29 00:00:00+00:00,2,2,5,5
2026-05-30 00:00:00+00:00,4,3,8,5
2026-05-31 00:00:00+00:00,0,0,2,2
2026-06-01 00:00:00+00:00,5,4,2,2
2026-06-02 00:00:00+00:00,4,3,3,2
2026-06-03 00:00:00+00:00,2,2,4,4
2026-06-04 00:00:00+00:00,1,1,3,2
2026-06-05 00:00:00+00:00,4,4,6,5
2026-06-06 00:00:00+00:00,21,3,5,5
2026-06-07 00:00:00+00:00,103,3,4,4
2026-06-08 00:00:00+00:00,38,6,5,5
2026-06-09 00:00:00+00:00,33,5,9,7
2026-06-10 00:00:00+00:00,12,7,3,3
2026-06-11 00:00:00+00:00,2,2,0,0
2026-06-12 00:00:00+00:00,7,5,9,8
2026-06-13 00:00:00+00:00,19,5,4,4
2026-06-14 00:00:00+00:00,15,5,3,3
